Name,Type,Tag,Access,AName,FName,HTMLName,DS1,DS2,DS3,MM,Solu,MP,BP,HC,Col1,Alp1,Col2,Alp2,Col3,Alp3,Col4,Alp4,Unk1,Unk2,NameJP,NameZH,NameTW,NameKR,pH1,pH2,pH3,pH4,pH5,Ptn1,BaseState
Ag,Solid,0,1,Silver,Ag,Ag,10.49,8.02,0.001,107.9,0,962,2162,235,0xCCC9C4,1,0xCCC9C4,0.9,0xFFFFFF,0,0xFFFFFF,0,0.5,0.15,銀,银,銀,은,0,0,0,0,0,2,1
Ag2O,Solid,0,1,Silver oxide,Ag2O,Ag2O,7.14,2,0.001,231.74,0,280,99999,235,0x3C3835,1,0x3C3835,0.9,0xFFFFFF,0,0xFFFFFF,0,0.5,0.15,酸化銀,氧化银,氧化銀,산화은,0,0,0,0,0,1,1
Ag2S,Solid,0,1,Silver sulfide,Ag2S,Ag2S,7.23,2,0.001,247.8,0,1098,99999,235,0xFFFFFF,1,0xFFFFFF,0.9,0xFFFFFF,0,0xFFFFFF,0,0.5,0.15,硫化銀,硫化银,硫化銀,황화은,0,0,0,0,0,2,1
Ag2SO4,Solid,0,1,Silver sulfate,Ag2SO4,Ag2SO4,5.45,2,0.001,311.8,0.31,652,1085,235,0x000000,1,0x000000,0.9,0xFFFFFF,0,0xFFFFFF,0,0.5,0.15,硫酸銀,硫酸银,硫酸銀,황산은,0,0,0,0,1.000000E-06,2,1
AgBr,Solid,0,1,Silver bromide,AgBr,AgBr,6.473,1,0.001,187.77,0,432,1502,333,0xFFFF33,1,0xFFFF33,0.9,0xFFFFFF,0,0xFFFFFF,0,0.5,0.15,臭化銀,溴化银,溴化銀,브롬화은,1,0,0,0,0,2,1
AgCl,Solid,0,1,Silver chloride,AgCl,AgCl,5.56,2,0.001,143.3,0,455,1547,235,0xFFFFFF,1,0xFFFFFF,0.9,0xFFFFFF,0,0xFFFFFF,0,0.5,0.15,塩化銀,氯化银,氯化銀,염화은,0,0,0,0,5.0000000E-07,2,1
AgF,Solid,0,1,Silver fluoride,AgF,AgF,5.852,1,0.001,126.87,182,435,1159,44,0xFFFFFF,1,0xFFFFFF,0.9,0xFFFFFF,0,0xFFFFFF,0,0.5,0.15,フッ化銀,氟化银,氟化銀,플루오린화은,233,0.13187,0,0,0,2,1
AgI,Solid,0,1,Silver iodide,AgI,AgI,5.683,1,0.001,234.77,0,558,1506,356,0xFFFF33,1,0xFFFF33,0.9,0xFFFFFF,0,0xFFFFFF,0,0.5,0.15,ヨウ化銀,碘化银,碘化銀,요오드화은,0,0,0,0,0,2,1
AgNO3,Solid,0,1,Silver nitrate,AgNO3,AgNO3,5.35,2.32,0.001,169.87,216,212,444,440.49,0xFFFFFF,1,0xFFFFFF,0.9,0xFFFFFF,0,0xFFFFFF,0,0.5,0.15,硝酸銀,硝酸银,硝酸銀,질산은,0,0,0,0,5.0000000E-07,1,1
Al,Solid,0,1,Aluminium,Al,Al,0.968,0.927,0.001,29.98,0,650,1091,896,0x484A45,1,0x6A6D66,0.9,0xFFFFFF,0,0xFFFFFF,0,0.5,0.15,アルミニウム,铝,鋁,알루미늄,0,0,0,0,0,2,1
Al2O3,Solid,0,1,Aluminium oxide,Al2O3,Al2O3,3.95,1,0.001,102,0,2072,2977,1023.41,0xD4D0C7,1,0xD4D0C7,0.9,0xFFFFFF,0,0xFFFFFF,0,0.5,0.15,酸化アルミニウム,氧化铝,氧化鋁,산화 알루미늄 ,0,0,0,0,0,1,1
Al2S3,Solid,0,1,Aluminium sulfide,Al2S3,Al2S3,2.32,1,0.001,150.2,0,1100,1500,1023.41,0x666666,1,0x666666,0.9,0xFFFFFF,0,0xFFFFFF,0,0.5,0.15,硫化アルミニウム,硫化铝,硫化鋁,황화 알루미늄 ,0,0,0,0,0,1,1
Al2SO43,Solid,0,1,Aluminium sulfate,Al2SO43,Al2(SO4)3,1.69,1,0.001,342.15,87,770,99999,578,0xFFFFFF,1,0xFFFFFF,0.9,0xFFFFFF,0,0xFFFFFF,0,0.5,0.15,硫酸アルミニウム,硫酸铝,硫酸鋁,황산 알루미늄 ,23,0,0,0,1.54000000000E-09,1,1
AlBr3,Solid,0,1,Aluminium bromide,AlBr3,AlBr3,3.05,2.32,0.001,266.69,0,97.8,265,440.49,0xFFCC66,1,0xFFCC66,0.9,0xFFFFFF,0,0xFFFFFF,0,0.5,0.15,臭化アルミニウム,溴化铝,溴化鋁,브롬화 알루미늄,0,0,0,0,0,1,1
AlCl3,Solid,0,1,Aluminium chloride,AlCl3,AlCl3,2.48,1.9,0.001,133.3,45.8,192.4,99999,900,0xFFFFFF,1,0xFFFFFF,0.9,0xFFFFFF,0,0xFFFFFF,0,0.5,0.15,塩化アルミニウム,氯化铝,氯化鋁,염화 알루미늄,0,0,0,0,4.6000E-03,1,1
AlNO33,Solid,0,1,Aluminium nitrate,AlNO33,Al(NO3)3,3.05,2.32,0.001,213,73.4,73,135,440.49,0xFFFFFF,1,0xFFFFFF,0.9,0xFFFFFF,0,0x529F69,0,0.5,0.15,硝酸アルミニウム,硝酸铝,硝酸鋁,질산 알루미늄,0,0,0,0,7.70000000000E-10,1,1
AlOH3,Solid,0,1,Aluminium hydroxide,AlOH3,Al(OH)3,2.4,1.2,0.001,78,0,300,99999,1023.41,0xFFFFFF,1,0xFFFFFF,0.9,0xFFFFFF,0,0xFFFFFF,0,0.5,0.15,水酸化アルミニウム,氢氧化铝,氫氧化鋁,수산화 알루미늄,0,0,0,0,0,1,1
As,Solid,0,1,Arsenic,As,As,5.727,5.22,0.001,74.92,0,615,616,900,0xDCDED3,1,0xDCDED3,0.9,0xFFFFFF,0,0xFFFFFF,0,0.5,0.15,ヒ素,砷,砷,비소,0,0,0,0,0,2,1
As4O6,Solid,0,1,Arsenic trioxide,As4O6,As4O6,3.74,3,0.001,395.68,0,312.2,465,900,0xFFFFFF,1,0xFFFFFF,0.9,0xFFFFFF,0,0xFFFFFF,0,0.5,0.15,三酸化ヒ素,白砒,白砒,삼산화 비소,0,0,0,0,0,1,1
AsI3,Solid,0,1,Arsenic triiodide,AsI3,AsI3,4.69,1,0.001,455.64,6,146,403,900,0x994732,0.9,0x994732,0.9,0xFFFFFF,0,0xFFFFFF,0,0.5,0.15,三ヨウ化ヒ素,三碘化砷,三碘化砷,비소 트리 요오드화비소,0,0,0,0,0,1,1
Au,Solid,0,1,Gold,Au,Au,19.3,19,0.001,197,0,1064.18,2856,129.05,0xD59332,1,0xD59332,0.9,0xFFFFFF,0,0xFFFFFF,0,0.5,0.15,金,金,金,금,0,0,0,0,0,4,1
Ba,Solid,0,1,Barium,Ba,Ba,3.51,3.33,0.001,137.3,0,727,1845,800,0x3F4753,1,0x3F4753,0.9,0xFFFFFF,0,0xFFFFFF,0,0.5,0.15,バリウム,钡,鋇,바륨,0,0,0,0,0,2,1
BaCl2,Solid,0,1,Barium chloride,BaCl2,BaCl2,3.86,1,0.001,208.23,35.8,962,1560,2000,0xFFFFFF,1,0xFFFFFF,0.9,0xFFFFFF,0,0xFFFFFF,0,0.5,0.15,塩化バリウム,氯化钡,氯化鋇,염화 바륨,0,0,0,0,0,1,1
BaCO3,Solid,0,1,Barium carbonate,BaCO3,BaCO3,4.29,1,0.001,197.34,0,811,1360,2000,0xFFFFFF,1,0xFFFFFF,0.9,0xFFFFFF,0,0xFFFFFF,0,0.5,0.15,炭酸バリウム,碳酸钡,碳酸鋇,탄산 바륨,0,0,0,0,0,1,1
BaNO32,Solid,0,1,Barium nitrate,BaNO32,Ba(NO3)2,3.24,1,0.001,261.3,10.5,590,999999,2000,0xFFFFFF,1,0xFFFFFF,0.9,0xFFFFFF,0,0xFFFFFF,0,0.5,0.15,硝酸バリウム,硝酸钡,硝酸鋇,질산 바륨,0,0,0,0,0,1,1
BaO,Solid,0,1,Barium oxide,BaO,BaO,5.72,1,0.001,153.3,3.48,1923,2000,2000,0xFFFFFF,1,0xFFFFFF,0.9,0xFFFFFF,0,0xFFFFFF,0,0.5,0.15,酸化バリウム,氧化钡,氧化鋇,산화 바륨,0,0,0,0,0,2,1
BaOH2,Solid,0,1,Barium hydroxide,BaOH2,Ba(OH)2,5.72,1,0.001,171.3,3.89,408,780,2000,0xFFFFFF,1,0xFFFFFF,0.9,0xFFFFFF,0,0xFFFFFF,0,0.5,0.15,水酸化バリウム,氢氧化钡,氫氧化鋇,수산화 바륨,0,2,0,0,0,1,1
BaSO4,Solid,0,1,Barium sulfate,BaSO4,BaSO4,4.5,1,0.001,233.43,0,1345,1600,2000,0xFFFFFF,1,0xFFFFFF,0.9,0xFFFFFF,0,0xFFFFFF,0,0.5,0.15,硫酸バリウム,硫酸钡,硫酸鋇,황산 바륨,0,0,0,0,0,1,1
C,Solid,0,1,Carbon,C,C,2.267,1,0.001,12.01,0,3550,4827,512,0x212115,1,0x212115,0.9,0xFFFFFF,0,0xFFFFFF,0,0.5,0.15,炭素,碳,碳,탄소,0,0,0,0,0,5,1
